num,name,score,difficulty,rate,url,solution_url,completed,TODO
1,Introduction to Sets,10,Easy,98.51%,https://www.hackerrank.com/challenges/py-introduction-to-sets,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/01_introductiontosets.py,0,1
2,No Idea!,50,Medium,85.81%,https://www.hackerrank.com/challenges/no-idea,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/02_noidea!.py,0,1
3,Symmetric Difference,10,Easy,97.89%,https://www.hackerrank.com/challenges/symmetric-difference,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/03_symmetricdifference.py,0,1
4,Set .add(),10,Easy,99.18%,https://www.hackerrank.com/challenges/py-set-add,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/04_set.add().py,0,1
5,"Set .discard(), .remove() & .pop()",10,Easy,96.32%,https://www.hackerrank.com/challenges/py-set-discard-remove-pop/problem,"https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/05_set.discard(),.remove()&.pop().py",0,1
6,Set .union() Operation,10,Easy,99.19%,https://www.hackerrank.com/challenges/py-set-union,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/06_set.union()operation.py,0,1
7,Set .intersection() Operation,10,Easy,99.50%,https://www.hackerrank.com/challenges/py-set-intersection-operation,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/07_set.intersection()operation.py,0,1
8,Set .difference() Operation,10,Easy,99.41%,https://www.hackerrank.com/challenges/py-set-difference-operation/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/08_set.difference()operation.py,0,1
9,Set .symmetric_difference() Operation,10,Easy,99.50%,https://www.hackerrank.com/challenges/py-set-symmetric-difference-operation/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/09_set.symmetric_difference()operation.py,0,1
10,Set Mutations,10,Easy,98.24%,https://www.hackerrank.com/challenges/py-set-mutations,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/10_setmutations.py,0,1
11,The Captain's Room,10,Easy,89.99%,https://www.hackerrank.com/challenges/py-the-captains-room,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/11_thecaptainsroom.py,0,1
12,Check Subset,10,Easy,98.65%,https://www.hackerrank.com/challenges/py-check-subset,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/12_checksubset.py,0,1
13,Check Strict Superset,10,Easy,94.74%,https://www.hackerrank.com/challenges/py-check-strict-superset,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/13_checkstrictsuperset.py,0,1
5,"Set .discard(), .remove() & .pop()",10,Easy,96.32%,https://www.hackerrank.com/challenges/py-set-discard-remove-pop/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/05_set.discard().remove()&.pop().py,0,1
6,Set .union() Operation,10,Easy,99.19%,https://www.hackerrank.com/challenges/py-set-union,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/06_set.union()operation.py,0,1
7,Set .intersection() Operation,10,Easy,99.50%,https://www.hackerrank.com/challenges/py-set-intersection-operation,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/07_set.intersection()operation.py,0,1
8,Set .difference() Operation,10,Easy,99.41%,https://www.hackerrank.com/challenges/py-set-difference-operation/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/08_set.difference()operation.py,0,1
9,Set .symmetric_difference() Operation,10,Easy,99.50%,https://www.hackerrank.com/challenges/py-set-symmetric-difference-operation/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/09_set.symmetric_difference()operation.py,0,1
05,"Set .discard(), .remove() & .pop()",10,EasyPython (Basic),96.31%,https://www.hackerrank.com/challenges/py-set-discard-remove-pop/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/05_set.discard().remove()&.pop().py,0,1
06,Set .union() Operation,10,EasyPython (Basic),99.19%,https://www.hackerrank.com/challenges/py-set-union,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/06_set.union()operation.py,0,1
07,Set .intersection() Operation,10,EasyPython (Basic),99.51%,https://www.hackerrank.com/challenges/py-set-intersection-operation/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/07_set.intersection()operation.py,0,1
08,Set .difference() Operation,10,EasyPython (Basic),99.41%,https://www.hackerrank.com/challenges/py-set-difference-operation/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/08_set.difference()operation.py,0,1
09,Set .symmetric_difference() Operation,10,EasyPython (Basic),99.49%,https://www.hackerrank.com/challenges/py-set-symmetric-difference-operation/problem,https://github.com/jaimiles23/HackerRank_Solutions/blob/master/python/04_sets/09_set.symmetric_difference()operation.py,0,1
